thumbnail|part_num|part_cat_id|name
|10304|24|Coffin 2 x 4 x 6 Lid [Plain]
https://m.rebrickable.com/media/parts/elements/6005578.jpg|10304pr0001|7|Coffin 2 x 4 x 6 Lid with White Bat Print [9464 / 9468]
https://m.rebrickable.com/media/parts/elements/6123711.jpg|10304pr0002|7|Coffin 2 x 4 x 6 Lid with Light Bluish Gray Vampire and White Cobwebs Print
https://m.rebrickable.com/media/parts/ldraw/-1/10305.png|10305|27|Minifig Helmet with Front Prongs [Plain]
https://m.rebrickable.com/media/parts/elements/6017008.jpg|10305pr0001|27|Minifig Helmet with Front Prongs and Dark Purple Print (Magneto)
https://m.rebrickable.com/media/parts/photos/9999/1030b1-9999-fed25001-c26f-452e-b0da-c22836af296b.jpg|1030b1|17|Set 1030 Activity Booklet 1 - Parts Tray Organizer Card
https://m.rebrickable.com/media/parts/photos/9999/1030b10-9999-699f7878-4073-421b-8e12-a5665932e5fc.jpg|1030b10|17|Set 1030 Activity Booklet 10 - Wheels
https://m.rebrickable.com/media/parts/photos/9999/1030b11-9999-b3995b79-9556-4a20-90fc-4377f1ab6f2b.jpg|1030b11|17|Set 1030 Activity Booklet 11 - Conveyors
https://m.rebrickable.com/media/parts/photos/9999/1030b12-9999-1768beb0-6034-44a0-ae88-087a7be4ad15.jpg|1030b12|17|Set 1030 Activity Booklet 12 - Advanced Gearing
https://m.rebrickable.com/media/parts/photos/9999/1030b13-9999-31cc66d7-b8a0-4868-bdb9-e528c255c173.jpg|1030b13|17|Set 1030 Activity Booklet 13 - Pistons
https://m.rebrickable.com/media/parts/photos/9999/1030b14-9999-cce06657-6697-4e7d-b625-81ac42986d6e.jpg|1030b14|17|Set 1030 Activity Booklet 14 - Merry-go-round
https://m.rebrickable.com/media/parts/photos/9999/1030b15-9999-0edf553d-d502-48cf-ae2f-2c7dc0451a26.jpg|1030b15|17|Set 1030 Activity Booklet 15 - Cranes
https://m.rebrickable.com/media/parts/photos/9999/1030b16-9999-e4b1568f-15af-4f16-b009-843d05b6759f.jpg|1030b16|17|Set 1030 Activity Booklet 16 - Lifting with Pulleys
https://m.rebrickable.com/media/parts/photos/9999/1030b17-9999-5b775822-abbb-4fb5-b136-b73475ae9333.jpg|1030b17|17|Set 1030 Activity Booklet 17 - Water Wheels
https://m.rebrickable.com/media/parts/photos/9999/1030b18-9999-ff24d3fe-7676-4d2a-b71d-90661877453f.jpg|1030b18|17|Set 1030 Activity Booklet 18 - Windmills
https://m.rebrickable.com/media/parts/photos/9999/1030b19-9999-4949e14b-3534-40bf-bc23-956bc8da5b93.jpg|1030b19|17|Set 1030 Activity Booklet 19 - Simple Steering
https://m.rebrickable.com/media/parts/photos/9999/1030b2-9999-837520fb-0065-4d7f-8fa2-a9f98a119ed4.jpg|1030b2|17|Set 1030 Activity Booklet 2 - Levers
https://m.rebrickable.com/media/parts/photos/9999/1030b20-9999-32391ba6-7bc7-41fb-be3b-6600967c43c9.jpg|1030b20|17|Set 1030 Activity Booklet 20 - Advanced Steering
https://m.rebrickable.com/media/parts/photos/9999/1030b3-9999-d71cff3e-1a10-4e3e-ad01-9ffc4d4aa982.jpg|1030b3|17|Set 1030 Activity Booklet 3 - Supports
https://m.rebrickable.com/media/parts/photos/9999/1030b4-9999-27b7f244-4728-44f7-90ea-34ac504cdd01.jpg|1030b4|17|Set 1030 Activity Booklet 4 - Lifting & Supporting
https://m.rebrickable.com/media/parts/photos/9999/1030b5-9999-344396e9-f2a1-4378-86c4-934fc862c4c0.jpg|1030b5|17|Set 1030 Activity Booklet 5 - Pulleys & Belts
